"","pick_house","country","state","age","fandoms_partof","books_longingly","activism_mean","consider_activist_3_TEXT","consider_wactivist_4_TEXT","why_consideractivist","whynot_activist","whatis_wactivist","whatmore_wactivist","whystay_hpa","howlearn_hpa","hpa_moreof","female"
"2","Gryffindor","Portugal",NA,20,"Hunger Games, Sherlock","Origin, Dan Brown","Helping others, Changing ways of thinking, battling stereotypes","","","","","","","Because changing people's mindsets through the power of story is amazing :D ","Social Media","","Not Female"
"3","Hufflepuff","USA","Washington",24,"Doctor who, Game of thrones, Jane Austin ","pride and prejudice ","Not sitting back and saying this is normal. ","","","","","","","The people. The campaigns","Other","Mini fund risers","Female"
"4","Hufflepuff","USA","New York",37,"Steven Universe, Imperial Radch, Bitch Planet, Brooklyn 99, Peter Wimsey, Bone, Hamilton, Nero Wolfe","The Hate U Give, Provenance","For me personally, civic engagement and helping others become more engaged in hopes of making people’s lives better. ","","","","","","More actual activity. Writing and speaking and championing and calling doesn’t seem to qualify","Kind, positive people with similar priorities","Other","Anti-voting suppression, anti-gerrymandering","Female"
"5","Gryffindor","USA","California",52,"My Little Pony, Star Wars","Charles Dickens, The Man Who Invented Christmas","Living life with a purpose and that purpose is to support others. ","","","I have fought for human rights since I was a teen including membership in Act Up in the 1980s.  I spent my youth with a protest sign and I am spending middle age the same way! ","","","More events","yes","Con or Event","","Female"
"6","Hufflepuff","USA","Ohio",36,"Dr Who, Steven Universe, Orphan Black, Black Panther/Marvel, Powerpuff Girls","Aristotle and Dante Discover the Secrets of the Universe by Benjamin Alire Sáenz ","Changing the world. ","","","I've been fighting and organizing change since high school","","","","No","Social Media","POC LGBTQ+ Representation","Female"
"7","Hufflepuff","USA","Virginia",17,"Harry Potter, stranger things, parks and Rec, the office, greys anatomy, dear Evan hansen","Hillary Clinton’s What Happened","","","","I do lots of things that actually help, I.e. canvassing and phone banking and running events, not just posting on Facebook ","","","","","Nerdfighteria","Voting, LGBT+ activism/pride","Female"
"8","Ravenclaw","USA","New Jersey",15,"Doctor Who, Dirk Gently’s Holistic Detective Agency, Orphan Black, Stranger Things, Riverdale","Still Alice by Lisa Genova","Activism means standing up for what is right. It means doing what you can to make a difference.","I think I am a budding activist, starting to try to get out there.","","","","","I need to be more active and courageous when it comes to activism/wizard activism.","I love Harry Potter and equality and the HPA beautifully combines the two.","Social Media","","Female"
"9","Ravenclaw","USA","New York",62,"","The Invisible Pyramid  by Loren Eiseley","","I was in my younger days.","","","","","","","Social Media","","Female"
"10","Ravenclaw","USA","California",25,"Doctor Who, DC/Marvel, Supernatural, Star Wars, ","The Sun and Her Flowers by Rupi Kaur","To me, activism is an inherent part of existence. I choose to be an activist by supporting brands that do not engage in animal cruelty, and by creating spaces where people feel free to engage and learn about what is happening in the world around them. I encourage others to find something they are passionate about and to something to support it, whether it be raise money for a cause, participate in a march, or even just talk to someone about their viewpoints.  ","","","I care too much to be passive about what is going on in our world. Change starts small, but can grow to move mountains. By working in my local community, I am able to start the ball rolling and provide support for those who also feel passionately about their causes. One person may not be able to do a lot on their own, but if that one person can make a difference in another's life, you never know what may happen. ","","I think a wizard activist is someone who recognizes what their abilities are and puts in a good faith effort to use them to make a difference in their community.","Finding other individuals in my area and working together to bring awareness","I like the approach that is taken by the organization and the causes it supports","Friend","I think you guys are doing great!","Female"
"11","Gryffindor","USA","Ohio",20,"","","","","","","","","","","Social Media","","Female"
